Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Jamie Benn,DAL,82,,35,,52,,87,,1,,64,,120,,50,,298,,278,,0.517,,10,,13,,2,,3,,6,,253,,0.138
John Tavares,NYI,82,,38,,48,,86,,5,,46,,48,,37,,753,,689,,0.522,,13,,18,,0,,1,,8,,278,,0.137
Sidney Crosby,PIT,77,,28,,56,,84,,5,,47,,66,,29,,797,,800,,0.499,,10,,21,,0,,0,,3,,237,,0.118
Jakub Voracek,PHI,82,,22,,59,,81,,1,,78,,55,,28,,6,,3,,0.667,,11,,22,,0,,0,,3,,221,,0.1
Alex Ovechkin,WAS,81,,53,,28,,81,,10,,58,,259,,32,,2,,3,,0.4,,25,,9,,0,,0,,11,,395,,0.134
Nicklas Backstrom,WAS,82,,18,,60,,78,,5,,40,,91,,52,,862,,747,,0.536,,3,,30,,0,,0,,3,,153,,0.118
Tyler Seguin,DAL,71,,37,,40,,77,,-1,,20,,63,,26,,275,,236,,0.538,,13,,16,,0,,0,,5,,280,,0.132
Jiri Hudler,CGY,78,,31,,45,,76,,17,,14,,27,,14,,21,,25,,0.457,,6,,10,,0,,0,,5,,158,,0.196
Daniel Sedin,VAN,82,,20,,56,,76,,5,,18,,21,,16,,2,,3,,0.4,,4,,21,,0,,0,,5,,226,,0.089
Nick Foligno,COB,79,,31,,42,,73,,16,,50,,193,,52,,125,,138,,0.475,,11,,15,,0,,0,,3,,182,,0.17
Claude Giroux,PHI,81,,25,,48,,73,,-3,,36,,110,,28,,1063,,815,,0.566,,14,,23,,0,,0,,4,,279,,0.09
Vladimir Tarasenko,STL,77,,37,,36,,73,,27,,31,,32,,18,,0,,3,,0,,8,,10,,0,,0,,6,,264,,0.14
Henrik Sedin,VAN,82,,18,,55,,73,,11,,22,,25,,24,,704,,861,,0.45,,5,,20,,0,,0,,0,,101,,0.178
Steven Stamkos,TAM,82,,43,,29,,72,,2,,49,,91,,35,,469,,474,,0.497,,13,,12,,0,,0,,6,,268,,0.16
Tyler Johnson,TAM,77,,29,,43,,72,,33,,24,,64,,36,,537,,566,,0.487,,8,,9,,0,,0,,6,,203,,0.143
Ryan Johansen,COB,82,,26,,45,,71,,-6,,40,,84,,33,,851,,787,,0.52,,7,,19,,2,,0,,0,,202,,0.129
Evgeni Malkin,PIT,69,,28,,42,,70,,-2,,60,,24,,18,,322,,433,,0.426,,9,,17,,0,,0,,4,,212,,0.132
Joe Pavelski,SAN,82,,37,,33,,70,,12,,29,,97,,86,,642,,505,,0.56,,19,,12,,0,,0,,5,,261,,0.142
Ryan Getzlaf,ANA,77,,25,,45,,70,,15,,62,,100,,95,,632,,617,,0.506,,3,,10,,0,,2,,6,,191,,0.131
Rick Nash,NYR,79,,42,,27,,69,,29,,36,,45,,33,,2,,2,,0.5,,6,,6,,4,,1,,8,,304,,0.138
Max Pacioretty,MON,80,,37,,30,,67,,38,,32,,106,,38,,2,,7,,0.222,,7,,4,,3,,2,,10,,302,,0.123
Logan Couture,SAN,82,,27,,40,,67,,-6,,12,,85,,71,,477,,513,,0.482,,6,,18,,2,,0,,4,,263,,0.103
Henrik Zetterberg,DET,77,,17,,49,,66,,-6,,32,,55,,26,,541,,523,,0.508,,4,,24,,0,,0,,3,,227,,0.075
Erik Karlsson,OTT,82,,21,,45,,66,,7,,42,,93,,89,,0,,0,,N/A,,6,,24,,0,,0,,3,,292,,0.072
