Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Erik Karlsson,OTT,28,,6,,26,,32,,9,,18,,23,,57,,0,,0,,N/A,,1,,11,,0,,0,,2,,70,,0.086
John Klingberg,DAL,28,,5,,25,,30,,11,,14,,16,,27,,0,,0,,N/A,,2,,11,,0,,0,,2,,52,,0.096
Brent Burns,SAN,28,,10,,13,,23,,-13,,24,,43,,60,,1,,0,,1,,3,,8,,1,,0,,1,,127,,0.079
Justin Faulk,CAR,28,,11,,10,,21,,-9,,19,,49,,29,,0,,0,,N/A,,11,,1,,0,,0,,2,,89,,0.124
Ryan Suter,MIN,26,,4,,17,,21,,5,,12,,22,,48,,0,,0,,N/A,,1,,7,,0,,0,,2,,61,,0.066
P.K. Subban,MON,29,,1,,20,,21,,10,,22,,39,,27,,0,,0,,N/A,,1,,9,,0,,0,,0,,74,,0.014
Roman Josi,NAS,28,,7,,14,,21,,-2,,21,,20,,79,,0,,0,,N/A,,3,,7,,1,,0,,1,,67,,0.104
Brent Seabrook,CHI,28,,5,,15,,20,,3,,6,,38,,51,,0,,0,,N/A,,3,,5,,0,,0,,0,,63,,0.079
John Carlson,WAS,26,,4,,15,,19,,3,,12,,24,,54,,0,,0,,N/A,,2,,8,,0,,1,,1,,61,,0.066
Shea Weber,NAS,28,,9,,9,,18,,-6,,8,,64,,50,,0,,0,,N/A,,8,,4,,0,,0,,0,,69,,0.13
Rasmus Ristolainen,BUF,28,,4,,14,,18,,-3,,0,,48,,46,,0,,0,,N/A,,2,,4,,0,,0,,1,,71,,0.056
Oliver Ekman-Larsson,ARI,28,,6,,12,,18,,-10,,18,,47,,21,,0,,0,,N/A,,2,,5,,0,,0,,3,,81,,0.074
Tyson Barrie,COL,26,,3,,15,,18,,-2,,6,,8,,21,,0,,0,,N/A,,0,,7,,0,,0,,1,,53,,0.057
Andrei Markov,MON,29,,2,,16,,18,,7,,8,,20,,51,,0,,0,,N/A,,2,,7,,0,,0,,0,,39,,0.051
Dustin Byfuglien,WPG,28,,7,,10,,17,,6,,46,,84,,36,,0,,0,,N/A,,1,,5,,0,,0,,2,,93,,0.075
Alexander Edler,VAN,29,,6,,11,,17,,1,,28,,40,,59,,0,,0,,N/A,,3,,5,,0,,0,,0,,59,,0.102
Drew Doughty,LOS,27,,4,,12,,16,,12,,22,,46,,35,,0,,0,,N/A,,4,,3,,0,,0,,1,,69,,0.058
Dion Phaneuf,TOR,28,,2,,14,,16,,-1,,34,,52,,36,,0,,0,,N/A,,0,,6,,0,,0,,0,,58,,0.034
Zdeno Chara,BOS,25,,5,,11,,16,,10,,18,,37,,41,,0,,0,,N/A,,1,,4,,0,,2,,1,,46,,0.109
Torey Krug,BOS,27,,3,,13,,16,,5,,12,,21,,47,,1,,0,,1,,0,,7,,0,,0,,0,,76,,0.039
Sami Vatanen,ANA,28,,5,,10,,15,,1,,6,,37,,37,,0,,0,,N/A,,1,,2,,0,,0,,1,,58,,0.086
Keith Yandle,NYR,29,,1,,13,,14,,3,,14,,17,,21,,0,,0,,N/A,,1,,7,,0,,0,,0,,63,,0.016
Jared Spurgeon,MIN,26,,3,,11,,14,,1,,2,,12,,55,,0,,0,,N/A,,2,,3,,0,,2,,1,,33,,0.091
Kevin Shattenkirk,STL,18,,4,,10,,14,,0,,8,,16,,28,,0,,0,,N/A,,1,,5,,0,,1,,0,,39,,0.103
Morgan Rielly,TOR,28,,3,,11,,14,,-8,,6,,17,,45,,0,,0,,N/A,,1,,2,,0,,0,,0,,51,,0.059
Colton Parayko,STL,26,,5,,9,,14,,12,,8,,30,,43,,0,,0,,N/A,,2,,1,,0,,0,,3,,56,,0.089
Victor Hedman,TAM,27,,2,,12,,14,,7,,18,,17,,37,,0,,0,,N/A,,0,,3,,0,,0,,0,,60,,0.033
Francois Beauchemin,COL,29,,2,,12,,14,,0,,12,,29,,82,,0,,0,,N/A,,1,,5,,0,,1,,0,,44,,0.045
Kris Letang,PIT,25,,1,,13,,14,,-14,,16,,38,,45,,0,,0,,N/A,,0,,8,,0,,0,,0,,73,,0.014
Dennis Wideman,CGY,27,,0,,13,,13,,-8,,10,,25,,36,,0,,0,,N/A,,0,,5,,0,,0,,0,,37,,0
Jake Muzzin,LOS,27,,2,,11,,13,,3,,18,,50,,41,,0,,0,,N/A,,0,,4,,0,,0,,1,,55,,0.036
Duncan Keith,CHI,18,,4,,9,,13,,3,,4,,5,,27,,0,,0,,N/A,,1,,5,,0,,0,,1,,26,,0.154
Ryan McDonagh,NYR,29,,4,,9,,13,,12,,14,,45,,55,,0,,0,,N/A,,2,,3,,0,,0,,0,,52,,0.077
Matt Niskanen,WAS,26,,2,,11,,13,,5,,4,,39,,32,,0,,0,,N/A,,1,,4,,0,,0,,0,,44,,0.045
Aaron Ekblad,FLA,28,,5,,7,,12,,5,,10,,38,,23,,0,,0,,N/A,,1,,3,,0,,0,,2,,78,,0.064
Johnny Boychuk,NYI,29,,3,,9,,12,,4,,17,,81,,61,,0,,0,,N/A,,1,,2,,0,,0,,1,,65,,0.046
Oscar Klefbom,EDM,29,,4,,8,,12,,-4,,6,,20,,61,,0,,0,,N/A,,0,,3,,0,,0,,1,,41,,0.098
Mike Green,DET,22,,1,,10,,11,,-4,,12,,29,,22,,0,,0,,N/A,,0,,4,,0,,0,,0,,37,,0.027
Marc-Edouard Vlasic,SAN,25,,3,,8,,11,,6,,8,,18,,43,,0,,0,,N/A,,1,,2,,0,,1,,0,,42,,0.071
Mark Giordano,CGY,27,,6,,5,,11,,-12,,24,,29,,71,,0,,0,,N/A,,1,,1,,0,,0,,1,,66,,0.091
Alex Goligoski,DAL,28,,2,,9,,11,,9,,12,,40,,56,,0,,0,,N/A,,1,,1,,0,,0,,0,,54,,0.037
Cody Franson,BUF,28,,2,,9,,11,,-2,,14,,36,,23,,0,,0,,N/A,,0,,6,,0,,0,,1,,51,,0.039
Ryan Ellis,NAS,27,,2,,9,,11,,5,,18,,22,,28,,0,,0,,N/A,,0,,3,,0,,0,,1,,51,,0.039
Jeff Petry,MON,29,,3,,8,,11,,6,,6,,42,,40,,1,,0,,1,,1,,3,,0,,3,,2,,62,,0.048
Ryan Murray,COB,29,,2,,9,,11,,2,,18,,15,,46,,0,,0,,N/A,,0,,4,,0,,0,,0,,23,,0.087
Niklas Kronwall,DET,28,,2,,9,,11,,-6,,6,,43,,36,,0,,0,,N/A,,0,,6,,0,,0,,2,,26,,0.077
Jason Demers,DAL,22,,4,,7,,11,,7,,19,,33,,28,,0,,0,,N/A,,1,,1,,1,,0,,1,,35,,0.114
David Savard,COB,29,,0,,11,,11,,-9,,27,,56,,52,,0,,0,,N/A,,0,,2,,0,,1,,0,,52,,0
T.J. Brodie,CGY,18,,2,,9,,11,,2,,4,,8,,27,,0,,0,,N/A,,1,,1,,0,,0,,0,,26,,0.077
Alex Pietrangelo,STL,28,,2,,9,,11,,-4,,4,,16,,47,,0,,0,,N/A,,1,,2,,0,,0,,0,,74,,0.027
Andrej Sekera,EDM,28,,2,,9,,11,,-7,,4,,15,,48,,0,,0,,N/A,,1,,3,,0,,1,,0,,45,,0.044
Colin Miller,BOS,21,,2,,8,,10,,5,,26,,29,,19,,0,,0,,N/A,,0,,4,,0,,0,,0,,34,,0.059
Seth Jones,NAS,28,,1,,9,,10,,-2,,8,,24,,27,,0,,0,,N/A,,0,,3,,0,,0,,0,,58,,0.017
Erik Johnson,COL,29,,5,,5,,10,,-2,,17,,60,,64,,0,,0,,N/A,,2,,0,,1,,0,,0,,74,,0.068
Brian Campbell,FLA,28,,2,,8,,10,,2,,10,,15,,26,,0,,0,,N/A,,0,,4,,1,,0,,1,,43,,0.047
Ron Hainsey,CAR,28,,3,,7,,10,,-11,,8,,34,,49,,0,,0,,N/A,,0,,0,,0,,0,,2,,52,,0.058
Cam Fowler,ANA,28,,3,,7,,10,,-7,,11,,18,,39,,0,,0,,N/A,,1,,4,,0,,0,,0,,52,,0.058
Dan Girardi,NYR,29,,2,,7,,9,,9,,10,,67,,69,,0,,0,,N/A,,0,,0,,0,,0,,1,,22,,0.091
Niklas Hjalmarsson,CHI,28,,1,,8,,9,,3,,12,,13,,50,,0,,0,,N/A,,0,,1,,0,,0,,0,,36,,0.028
Toby Enstrom,WPG,28,,1,,8,,9,,10,,22,,11,,33,,0,,0,,N/A,,0,,0,,0,,0,,0,,16,,0.063
Nathan Beaulieu,MON,29,,2,,7,,9,,4,,30,,23,,37,,0,,0,,N/A,,1,,1,,0,,0,,0,,30,,0.067
Ben Hutton,VAN,23,,0,,9,,9,,-8,,4,,14,,25,,0,,0,,N/A,,0,,2,,0,,0,,0,,34,,0
