Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct
Patrick Kane,CHI,28,,17,,26,,43,,13,,12,,14,,8,,5,,19,,0.208,,9,,5,,0,,0,,4,,98,,0.173
Tyler Seguin,DAL,28,,15,,24,,39,,10,,6,,26,,14,,182,,147,,0.553,,4,,9,,0,,0,,3,,116,,0.129
Jamie Benn,DAL,28,,19,,20,,39,,11,,24,,53,,17,,95,,98,,0.492,,8,,3,,2,,2,,3,,83,,0.229
Daniel Sedin,VAN,30,,13,,20,,33,,6,,20,,9,,7,,1,,0,,1,,5,,8,,0,,1,,3,,106,,0.123
Taylor Hall,EDM,29,,12,,18,,30,,12,,20,,33,,17,,6,,6,,0.5,,2,,5,,0,,0,,4,,123,,0.098
Mike Cammalleri,NJD,28,,11,,19,,30,,12,,12,,10,,11,,5,,5,,0.5,,2,,7,,0,,0,,0,,78,,0.141
Henrik Sedin,VAN,30,,9,,20,,29,,6,,6,,6,,9,,297,,298,,0.499,,4,,8,,1,,0,,0,,41,,0.22
Artemi Panarin,CHI,28,,9,,19,,28,,6,,4,,22,,5,,0,,0,,N/A,,0,,6,,0,,0,,1,,69,,0.13
David Krejci,BOS,27,,9,,18,,27,,4,,10,,20,,23,,191,,206,,0.481,,2,,7,,0,,0,,3,,56,,0.161
Bobby Ryan,OTT,28,,9,,18,,27,,3,,6,,25,,9,,2,,5,,0.286,,2,,5,,0,,0,,0,,69,,0.13
Blake Wheeler,WPG,28,,9,,18,,27,,-3,,8,,30,,23,,3,,4,,0.429,,2,,6,,2,,1,,2,,78,,0.115
Mike Hoffman,OTT,24,,15,,12,,27,,8,,4,,6,,13,,2,,4,,0.333,,4,,3,,0,,0,,2,,75,,0.2
Vladimir Tarasenko,STL,27,,16,,11,,27,,4,,14,,9,,9,,0,,0,,N/A,,4,,2,,0,,0,,2,,99,,0.162
Evgeny Kuznetsov,WAS,26,,8,,19,,27,,15,,14,,21,,9,,170,,206,,0.452,,2,,5,,0,,0,,2,,53,,0.151
Matt Duchene,COL,29,,15,,11,,26,,-4,,6,,22,,11,,183,,144,,0.56,,5,,3,,0,,0,,2,,74,,0.203
Joe Pavelski,SAN,28,,13,,13,,26,,5,,18,,50,,26,,184,,139,,0.57,,2,,8,,0,,0,,4,,82,,0.159
Tomas Plekanec,MON,29,,7,,19,,26,,11,,8,,20,,11,,310,,331,,0.484,,1,,8,,0,,0,,1,,62,,0.113
