Name,Team,GP,,GS,,MIN,,W,,L,,OTL,,EGA,,GA,,GAA,,SA,,SV,,SV%,,SO
Semyon Varlamov,COL,63,,60,,3640,,41,,14,,6,,3,,146,,2.41,,2013,,1867,,0.927,,2
Marc-Andre Fleury,PIT,64,,64,,3792,,39,,18,,5,,2,,150,,2.37,,1774,,1624,,0.915,,5
Antti Niemi,DAL,64,,64,,3740,,39,,17,,7,,2,,149,,2.39,,1705,,1556,,0.913,,4
Ben Bishop,TAM,63,,63,,3586,,37,,14,,7,,6,,133,,2.23,,1758,,1625,,0.924,,5
Tuukka Rask,BOS,58,,58,,3386,,36,,15,,6,,1,,115,,2.04,,1641,,1526,,0.93,,7
Carey Price,MON,59,,59,,3464,,34,,20,,5,,4,,134,,2.32,,1828,,1694,,0.927,,6
Henrik Lundqvist,NYR,63,,62,,3655,,33,,24,,5,,2,,144,,2.36,,1810,,1666,,0.92,,5
Kari Lehtonen,DAL,65,,64,,3804,,33,,20,,10,,5,,153,,2.41,,1888,,1735,,0.919,,5
Steve Mason,PHI,61,,60,,3486,,33,,18,,7,,2,,145,,2.5,,1751,,1606,,0.917,,4
Corey Crawford,CHI,59,,56,,3395,,32,,16,,10,,3,,128,,2.26,,1533,,1405,,0.917,,2
Sergei Bobrovsky,COB,58,,58,,3299,,32,,20,,5,,5,,131,,2.38,,1699,,1568,,0.923,,5
Jaroslav Halak,NYI,52,,50,,2939,,29,,13,,7,,3,,110,,2.25,,1385,,1275,,0.921,,5
Jonas Hiller,CGY,50,,50,,2909,,29,,13,,7,,4,,120,,2.48,,1348,,1228,,0.911,,5
Jonathan Quick,LOS,49,,49,,2904,,27,,17,,4,,1,,100,,2.07,,1183,,1083,,0.915,,6
Mike Smith,ARI,62,,61,,3610,,27,,21,,10,,10,,159,,2.64,,1871,,1712,,0.915,,3
Jonathan Bernier,TOR,55,,49,,3084,,26,,19,,7,,8,,138,,2.69,,1787,,1649,,0.923,,1
Ryan Miller,VAN,59,,59,,3500,,25,,30,,4,,5,,154,,2.64,,1885,,1731,,0.918,,1
Roberto Luongo,FLA,56,,56,,3222,,25,,23,,7,,6,,129,,2.4,,1589,,1460,,0.919,,4
Craig Anderson,OTT,53,,52,,3000,,25,,16,,8,,2,,150,,3,,1680,,1530,,0.911,,4
Braden Holtby,WAS,48,,45,,2656,,23,,15,,4,,3,,126,,2.85,,1475,,1349,,0.915,,4
Ondrej Pavelec,WPG,57,,57,,3248,,22,,26,,7,,3,,163,,3.01,,1644,,1481,,0.901,,1
Jimmy Howard,DET,51,,50,,3004,,21,,19,,11,,6,,133,,2.66,,1482,,1349,,0.91,,2
Carter Hutton,NAS,40,,34,,2085,,20,,11,,4,,2,,91,,2.62,,1006,,915,,0.91,,1
Frederik Andersen,ANA,28,,24,,1569,,20,,5,,0,,0,,60,,2.29,,783,,723,,0.923,,0
Martin Brodeur,STL,39,,39,,2297,,19,,14,,6,,3,,96,,2.51,,971,,875,,0.901,,3
Anton Khudobin,ANA,36,,34,,2084,,19,,14,,1,,5,,80,,2.3,,1076,,996,,0.926,,1
Josh Harding,MIN,29,,26,,1668,,18,,7,,3,,3,,46,,1.66,,690,,644,,0.933,,3
Brian Elliott,STL,31,,25,,1624,,18,,6,,2,,2,,53,,1.96,,681,,628,,0.922,,4
Tim Thomas,DAL,48,,46,,2662,,18,,24,,4,,4,,128,,2.88,,1390,,1262,,0.908,,0
Chad Johnson,BUF,27,,23,,1511,,17,,4,,3,,0,,53,,2.1,,708,,655,,0.925,,2
Karri Ramo,CGY,40,,37,,2194,,17,,15,,4,,5,,97,,2.65,,1091,,994,,0.911,,2
Ben Scrivens,EDM,40,,35,,2210,,16,,16,,4,,1,,94,,2.55,,1205,,1111,,0.922,,4
Eddie Lack,CAR,41,,37,,2319,,16,,17,,5,,5,,93,,2.41,,1052,,959,,0.912,,4
Jonas Gustavsson,BOS,27,,26,,1551,,16,,5,,4,,0,,68,,2.63,,735,,667,,0.907,,0
Cory Schneider,NJD,45,,43,,2680,,16,,15,,12,,8,,88,,1.97,,1107,,1019,,0.921,,3
Evgeni Nabokov,SAN,40,,39,,2254,,15,,14,,8,,6,,103,,2.74,,1085,,982,,0.905,,4
Antti Raanta,NYR,25,,22,,1397,,13,,5,,4,,2,,63,,2.71,,610,,547,,0.897,,1
Al Montoya,FLA,28,,22,,1541,,13,,8,,3,,1,,59,,2.3,,737,,678,,0.92,,2
Darcy Kuemper,MIN,26,,25,,1480,,12,,8,,4,,1,,60,,2.43,,702,,642,,0.915,,2
Cam Talbot,EDM,21,,19,,1211,,12,,6,,1,,2,,33,,1.64,,560,,527,,0.941,,3
Robin Lehner,BUF,36,,30,,1942,,12,,15,,6,,5,,99,,3.06,,1141,,1042,,0.913,,1
Alex Stalock,SAN,24,,18,,1252,,12,,5,,2,,3,,39,,1.87,,571,,532,,0.932,,2
Martin Jones,SAN,19,,18,,1095,,12,,6,,0,,1,,33,,1.81,,500,,467,,0.934,,4
Jeff Zatkoff,PIT,20,,18,,1171,,12,,6,,2,,1,,51,,2.61,,582,,531,,0.912,,1
James Reimer,TOR,36,,32,,1785,,12,,16,,1,,4,,98,,3.29,,1095,,997,,0.911,,1
Ilya Bryzgalov,ANA,32,,30,,1814,,12,,9,,8,,3,,81,,2.68,,891,,810,,0.909,,4
Jean-Sebastien Giguere,COL,22,,19,,1212,,11,,6,,1,,4,,53,,2.62,,608,,555,,0.913,,2
Devan Dubnyk,MIN,34,,31,,1802,,11,,18,,3,,5,,103,,3.43,,945,,842,,0.891,,2
