Name,Team,GP,,GS,,MIN,,W,,L,,OTL,,EGA,,GA,,GAA,,SA,,SV,,SV%,,SO
Carey Price,MON,66,,66,,3977,,44,,16,,6,,5,,130,,1.96,,1953,,1823,,0.933,,9
Braden Holtby,WAS,73,,72,,4247,,41,,20,,10,,4,,157,,2.22,,2044,,1887,,0.923,,9
Pekka Rinne,NAS,64,,64,,3851,,41,,17,,6,,8,,140,,2.18,,1807,,1667,,0.923,,4
Ben Bishop,TAM,62,,60,,3519,,40,,13,,5,,4,,136,,2.32,,1620,,1484,,0.916,,4
Jaroslav Halak,NYI,59,,59,,3550,,38,,17,,4,,6,,144,,2.43,,1673,,1529,,0.914,,6
Devan Dubnyk,MIN,58,,55,,3328,,36,,14,,4,,0,,115,,2.07,,1625,,1510,,0.929,,6
Jonathan Quick,LOS,72,,71,,4184,,36,,22,,13,,8,,156,,2.24,,1896,,1740,,0.918,,6
Frederik Andersen,ANA,54,,53,,3106,,35,,12,,5,,3,,123,,2.38,,1436,,1313,,0.914,,3
Marc-Andre Fleury,PIT,64,,64,,3776,,34,,20,,9,,5,,146,,2.32,,1831,,1685,,0.92,,10
Tuukka Rask,BOS,70,,67,,4063,,34,,21,,13,,5,,156,,2.3,,2011,,1855,,0.922,,3
Kari Lehtonen,DAL,65,,65,,3698,,34,,17,,10,,3,,181,,2.94,,1875,,1694,,0.903,,5
Corey Crawford,CHI,57,,57,,3333,,32,,20,,5,,4,,126,,2.27,,1661,,1535,,0.924,,2
Antti Niemi,DAL,61,,61,,3588,,31,,23,,7,,12,,155,,2.59,,1811,,1656,,0.914,,5
Sergei Bobrovsky,COB,51,,49,,2994,,30,,17,,3,,6,,134,,2.68,,1632,,1498,,0.918,,2
Henrik Lundqvist,NYR,46,,46,,2743,,30,,13,,3,,3,,103,,2.25,,1329,,1226,,0.923,,5
Ryan Miller,VAN,45,,45,,2542,,29,,15,,1,,5,,107,,2.53,,1198,,1091,,0.911,,6
Roberto Luongo,FLA,61,,61,,3528,,28,,19,,12,,6,,138,,2.35,,1743,,1605,,0.921,,2
Semyon Varlamov,COL,57,,57,,3307,,28,,20,,8,,7,,141,,2.56,,1791,,1650,,0.921,,5
Brian Elliott,STL,46,,45,,2546,,26,,14,,3,,4,,96,,2.26,,1150,,1054,,0.917,,5
Jonas Hiller,CGY,52,,44,,2871,,26,,19,,4,,10,,113,,2.36,,1376,,1263,,0.918,,1
Cory Schneider,NJD,69,,68,,3924,,26,,31,,9,,12,,148,,2.26,,1982,,1834,,0.925,,5
Jimmy Howard,DET,53,,50,,2971,,23,,13,,11,,8,,121,,2.44,,1350,,1229,,0.91,,2
Cam Ward,CAR,51,,50,,3026,,22,,24,,5,,5,,121,,2.4,,1351,,1230,,0.91,,1
Ondrej Pavelec,WPG,50,,46,,2838,,22,,16,,8,,6,,108,,2.28,,1353,,1245,,0.92,,5
