"","Name","pos","Team","Gm","season","Age","Salary","AAV","G","A","P","G60","A60","P60","PenD","CF%","PDO","PSh%","ZSO%Rel","TOI/Gm","iHSC","HSCF%Rel","HSCF%","HSCF%off","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%Rel","SCF%","SCF%off","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","iSC","CF%Rel","CF%off","C+/-","CF","CA","CF60","CA60","CP60","OCOn%","BK","AB","iCF","FF%Rel","FF%","FF%off","F+/-","FF","FA","FF60","FA60","FP60","OFOn%","MS","iFF","SF%Rel","SF%","SF%off","S+/-","SF60","SA60","SF","SA","iSF","OCAOn%","OFAOn%","GF%Rel","GF%off","GF60","GA60","GF","GA","G+/-","GF%","PFenSh%","OSh%","OFenSh%","OSv%","OFenSv%","FO%^","FO_W","FO_L","ZSO%","ZSO","ZSN","ZSD","HIT","HIT-","A1","A2","SH","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%","TOIT%","TOIC%","CorT%","CorC%","tCF60","tCA60","cCF60","cCA60"
"abdelju8720122013","Justin.Abdelkader","RL","DET",60,20122013,25,"1.400","1.800",12,4,16,0.79,0.26,1.06,6,56.96,99.46,9.3,-3.09,15.14,82,8.25,58.6,50.35,54,184,130,12.16,8.59,20.74,7.01,57.24,50.23,107,423,316,27.95,20.88,48.82,121,5.64,51.32,219,896,677,59.2,44.73,103.92,50.78,26,22,196,6.07,57.11,51.03,165,663,498,43.8,32.9,76.7,68.63,41,170,5.74,55.35,49.61,88,30.06,24.25,455,367,129,45.79,26.31,2.59,50.85,2.05,1.78,31,27,4,53.45,7.06,6.81,4.68,92.64,94.58,50.68,67,61,51.35,285,285,270,181,99,3,1,117,11,12,15,21,0.4,908.17,2740.29,24.89,18.39,17.82,54.21,50.78,55.95,47.27,53.91,52.25
"adamscr7720122013","Craig.Adams","C","PIT",63,20122013,35,"0.625","0.675",3,7,10,0.25,0.58,0.83,5,32.73,97.96,5.08,-25.48,11.43,21,-22.85,30.49,53.34,-87,68,155,5.67,12.92,18.58,-25.11,30.4,55.51,-205,159,364,13.25,30.33,43.58,48,-20.04,52.77,-402,381,783,31.75,65.25,96.99,58.79,16,48,94,-17.21,36.08,53.3,-236,306,542,25.5,45.16,70.66,73.2,19,78,-16.49,36.72,53.21,-162,18.67,32.16,224,386,59,50.7,28.78,-30.37,60.8,1.17,2.67,14,32,-18,30.43,3.85,6.25,4.58,91.71,94.1,46.88,67,73,28.54,127,197,318,135,63,4,3,56,8,14,8,13,0.42,720.04,3149.52,18.61,16.59,16.76,48.61,50.19,51.94,54.92,54.57,54.16
"adamxlu9020122013","Luke.Adam","L","BUF",4,20122013,22,"0.787","0.738",1,0,1,1.49,0,1.49,-1,35.71,111.81,50,-7.34,10.07,1,7.26,46.15,38.89,-1,6,7,8.94,10.43,19.37,-3.41,37.5,40.91,-8,12,20,17.88,29.8,47.68,3,-8.29,44,-20,25,45,37.25,67.05,104.3,52,2,2,5,-8.44,34.69,43.14,-15,17,32,25.33,47.68,73.01,76.47,1,3,-12.46,31.71,44.16,-15,19.37,41.72,13,28,2,37.78,12.5,16.67,50,2.98,1.49,2,1,1,66.67,33.33,15.38,11.76,96.43,96.88,42.86,1,0,35.71,5,12,9,3,2,0,0,1,0,0,1,0,-1.49,40.27,204.47,16.45,17.29,16.8,46.93,51.08,49.29,55.73,53.67,51.4
"akesoja9020122013","Jason.Akeson","R","PHI",1,20122013,22,"0.715","0.715",1,0,1,4.77,0,4.77,0,48.15,125,50,15.79,12.57,1,15.56,60,44.44,1,3,2,14.32,9.55,23.87,16.64,53.85,37.21,1,7,6,33.42,28.65,62.07,2,14.08,34.07,-1,13,14,62.07,66.84,128.91,61.54,1,0,3,3.23,40.91,37.68,-4,9,13,42.97,62.07,105.04,88.89,0,2,8.11,42.11,34,-3,38.2,52.52,8,11,2,21.43,15.38,100,0,9.55,0,2,0,2,100,50,25,22.22,100,100,40,0,0,50,3,6,3,0,1,0,0,1,0,2,0,0,0,12.57,47.32,20.99,18.11,18.84,49.13,54.65,54.44,56.37,63.49,52.68
"alberan8120122013","Andrew.Alberts","D","VAN",28,20122013,31,"1.225","1.225",0,1,1,0,0.15,0.15,-2,44.95,95.44,0,-10.5,14.64,1,-11.66,38.24,49.89,-32,52,84,7.61,12.29,19.9,-7.5,41.23,48.73,-63,148,211,21.66,30.88,52.54,15,-8.55,53.5,-69,307,376,44.93,55.03,99.96,51.79,20,33,47,-8.49,43.4,51.89,-66,217,283,31.76,41.42,73.17,73.27,11,27,-8.44,42.4,50.84,-57,23.27,31.61,159,216,16,42.55,23.67,-22.93,47.93,0.88,2.63,6,18,-12,25,0,3.77,2.76,91.67,93.64,40,0,0,39.39,78,108,120,49,49,1,0,16,8,5,5,3,-0.29,409.98,1310.11,23.83,16.11,16.88,51.12,49.67,53.41,51.07,52.5,53.19
"alfreda7220122013","Daniel.Alfredsson","R","OTT",57,20122013,39,"1.000","4.875",14,22,36,0.77,1.2,1.97,-1,58.26,101.47,10.94,12.76,19.23,49,6,54.43,48.43,34,209,175,11.44,9.58,21.02,7.46,56.14,48.68,122,558,436,30.55,23.87,54.42,120,8.21,50.05,362,1276,914,69.86,50.04,119.89,51.65,70,35,247,8,56.54,48.54,211,912,701,49.93,38.38,88.3,72.26,49,177,7.28,55.47,48.19,130,36.08,28.96,659,529,128,42.12,24.54,11.98,48.02,3.12,2.08,57,38,19,60,7.91,8.65,6.25,92.82,94.58,38.57,19,31,60.21,469,365,310,45,58,14,8,114,41,41,10,9,-0.05,1095.98,2394.04,31.4,18.69,17.93,52.04,49.85,60.04,55.32,54.73,55.07
"aliuxak8920122013","Akim.Aliu","R","CGY",5,20122013,23,"0.695","0.695",0,0,0,0,0,0,0,38.95,93.75,0,-3.33,10.51,3,-7.76,38.46,46.23,-6,10,16,11.42,18.27,29.68,-3.63,40.68,44.31,-11,24,35,27.4,39.96,67.35,5,-6.94,45.89,-21,37,58,42.24,66.21,108.45,37.84,2,2,5,-6.14,39.39,45.53,-14,26,40,29.68,45.66,75.34,53.85,1,3,-16.39,30.43,46.83,-18,15.98,36.53,14,32,2,44.83,20,-55.56,55.56,0,2.28,0,2,-2,0,0,0,0,93.75,95,40,0,0,36.67,11,21,19,5,9,0,0,2,2,1,1,1,0,52.56,247.32,17.53,16.99,16.69,47.96,48.65,50.57,54.87,50.16,52.94
"allenbr8020122013","Bryan.Allen","D","ANA",48,20122013,32,"3.500","3.500",0,7,7,0,0.47,0.47,-4,42.21,101.27,0,-7.26,18.64,4,-5.77,46.25,52.02,-24,148,172,9.93,11.54,21.46,-7.19,44.65,51.84,-80,334,414,22.4,27.77,50.17,18,-8.46,50.67,-246,666,912,44.67,61.17,105.85,49.7,38,80,100,-9.71,42.03,51.73,-181,477,658,32,44.14,76.13,69.39,32,62,-10.76,42.65,53.41,-114,22.2,29.85,331,445,30,51.21,32.37,-7.74,54.4,1.88,2.15,28,32,-4,46.67,0,8.46,5.87,92.81,95.14,40,0,0,43.81,237,317,304,77,91,1,6,30,25,5,12,8,-0.27,894.5,2047.23,30.41,16.31,17.21,48.55,50.62,51.4,54.48,53.55,52.23
"alzneka8820122013","Karl.Alzner","D","WSH",55,20122013,23,"1.270","1.285",2,5,7,0.1,0.26,0.37,-3,44.81,98.42,3.45,-10.95,20.91,7,-1.92,46.86,48.78,-24,179,203,9.34,10.59,19.92,-6.81,44.96,51.77,-99,442,541,23.05,28.22,51.27,30,-5.99,50.8,-225,971,1196,50.65,62.38,113.03,51.18,38,100,128,-5.79,44.75,50.54,-164,699,863,36.46,45.01,81.47,71.1,32,90,-5.81,43.48,49.29,-149,25.92,33.69,497,646,58,45.99,25.14,-19.11,57.82,1.88,2.97,36,57,-21,38.71,2.22,7.24,5.15,91.18,93.4,40,0,0,41.2,344,396,491,53,118,1,4,56,29,14,8,5,-0.16,1150.33,2191.11,34.43,17.32,17.84,48.31,50.39,52.52,56.18,55.26,54.4
"anderjo8920122013","Joakim.Andersson","C","DET",52,20122013,23,"0.637","0.613",4,9,13,0.38,0.85,1.22,-5,51.17,98.44,6.45,-9.18,12.28,38,-3.36,50.22,53.59,1,112,111,10.52,10.43,20.95,-2.48,50.28,52.76,3,268,265,25.18,24.9,50.07,57,-2.35,53.52,26,569,543,53.45,51.01,104.47,54.13,16,17,99,-3.43,49.94,53.37,-1,424,425,39.83,39.93,79.76,72.64,21,83,-1.51,49.84,51.35,-2,28.93,29.12,308,310,62,42.91,27.06,-8.75,53.85,2.16,2.63,23,28,-5,45.1,4.82,7.47,5.42,90.97,93.41,49.51,243,244,45.64,183,176,218,25,52,4,5,58,20,9,9,4,-0.47,638.67,2540.17,20.09,16.63,16.8,53.48,50.1,55.77,48.52,52.55,52.33
